model,version,table,field,ref_table,ref_field,name
pedsnet,2.1.0,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
pedsnet,2.1.0,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
