Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
concept_synonym,concept_id,Yes,concept,concept_id,integer,,A foreign key to the concept in the concept table. 
concept_synonym,concept_synonym_name,Yes,,,varchar(1000),,The alternative name for the concept. 
concept_synonym,language_concept_id,Yes,concept,concept_id,integer,,A foreign key to a concept representing the language. 
