Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
attribute_definition,attribute_definition_id,Yes,,,integer,,A unique identifier for each attribute. 
attribute_definition,attribute_description,No,,,clob,,A complete description of the attribute definition.
attribute_definition,attribute_name,Yes,,,varchar(255),,A short description of the attribute. 
attribute_definition,attribute_syntax,No,,,clob,,Syntax to operationalize the attribute definition.
attribute_definition,attribute_type_concept_id,Yes,concept,concept_id,integer,,Type to define what kind of attribute definition the record represents and how the syntax may be executed.
