model,version,table,field,name,order
pedsnet,v1,observation,observation_concept_id,idx_observation_concept_id,
pedsnet,v1,observation,visit_occurrence_id,idx_observation_visit_id,
pedsnet,v1,observation,person_id,idx_observation_person_id,
