model,version,table,field,type,length,precision,scale,default
omop,5.0.0,source_to_concept_map,invalid_reason,string,1,,,
omop,5.0.0,source_to_concept_map,source_code,string,50,,,
omop,5.0.0,source_to_concept_map,source_code_description,string,255,,,
omop,5.0.0,source_to_concept_map,source_concept_id,integer,,,,
omop,5.0.0,source_to_concept_map,source_vocabulary_id,string,20,,,
omop,5.0.0,source_to_concept_map,target_concept_id,integer,,,,
omop,5.0.0,source_to_concept_map,target_vocabulary_id,string,20,,,
omop,5.0.0,source_to_concept_map,valid_end_date,date,,,,
omop,5.0.0,source_to_concept_map,valid_start_date,date,,,,
