model,version,table,field,type,length,precision,scale,default
pcornet,v2,dispensing,dispense_amt,number,,4,,
pcornet,v2,dispensing,dispense_date,string,10,,,
pcornet,v2,dispensing,dispense_sup,number,,4,,
pcornet,v2,dispensing,ndc,string,11,,,
pcornet,v2,dispensing,patid,string,,,,
pcornet,v2,dispensing,raw_ndc,string,,,,
