model,version,table,field,type,length,precision,scale,default
pedsnet-split,v2.8,source_to_concept_map,invalid_reason,string,1,,,
pedsnet-split,v2.8,source_to_concept_map,source_code,string,50,,,
pedsnet-split,v2.8,source_to_concept_map,source_code_description,string,255,,,
pedsnet-split,v2.8,source_to_concept_map,source_concept_id,integer,,,,
pedsnet-split,v2.8,source_to_concept_map,source_vocabulary_id,string,20,,,
pedsnet-split,v2.8,source_to_concept_map,target_concept_id,integer,,,,
pedsnet-split,v2.8,source_to_concept_map,target_vocabulary_id,string,20,,,
pedsnet-split,v2.8,source_to_concept_map,valid_end_date,date,,,,
pedsnet-split,v2.8,source_to_concept_map,valid_start_date,date,,,,
