model,version,table,field,name,order
omop,4.0.0,procedure_occurrence,procedure_concept_id,idx_procedure_concept_id,
omop,4.0.0,procedure_occurrence,visit_occurrence_id,idx_procedure_visit_id,
omop,4.0.0,procedure_occurrence,person_id,idx_procedure_person_id,
