model,version,table,field,ref_table,ref_field,name
omop,v4,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
omop,v4,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
