model,version,table,field,name,order
pedsnet,2.0.0,concept_ancestor,descendant_concept_id,idx_concept_ancestor_id_2,
pedsnet,2.0.0,concept_ancestor,ancestor_concept_id,idx_concept_ancestor_id_1,
