model,version,table,field,type,length,precision,scale,default
pcornet,v5.0,death,patid,string,,,,
pcornet,v5.0,death,death_date,date,,,,
pcornet,v5.0,death,death_date_impute,string,2,,,
pcornet,v5.0,death,death_source,string,2,,,
pcornet,v5.0,death,death_match_confidence,string,2,,,
