model,version,table,field,required,ref_table,ref_field,description
pedsnet-split,v2.8,location,address_1,No,,,Optional - Do not transmit to DCC
pedsnet-split,v2.8,location,address_2,No,,,Optional - Do not transmit to DCC
pedsnet-split,v2.8,location,city,No,,,Optional - Do not transmit to DCC
pedsnet-split,v2.8,location,county,No,,,Optional - Do not transmit to DCC
pedsnet-split,v2.8,location,location_id,Yes,,,A unique identifier for each geographic location.
pedsnet-split,v2.8,location,location_source_value,No,,,The verbatim information that is used to uniquely identify the location as it appears in the source data. 
pedsnet-split,v2.8,location,state,No,,,The state field as it appears in the source data.
pedsnet-split,v2.8,location,zip,No,,,"The zip code. For US addresses, valid zip codes can be 3, 5 or 9 digits long, depending on the source data."
