model,version,table,field,type,length,precision,scale,default
pedsnet,1.0.0,concept_relationship,concept_id_1,integer,,,,
pedsnet,1.0.0,concept_relationship,concept_id_2,integer,,,,
pedsnet,1.0.0,concept_relationship,invalid_reason,string,1,,,
pedsnet,1.0.0,concept_relationship,relationship_id,integer,,,,
pedsnet,1.0.0,concept_relationship,valid_end_date,date,,,,'2099-12-31'::date
pedsnet,1.0.0,concept_relationship,valid_start_date,date,,,,
