model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description,
pcornet,v5.0,hash_token,patid,NO,,,,NO,,,,"Arbitrary person-level identifier. Used to link across tables..",
pcornet,v5.0,hash_token,token_01,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 01.",
pcornet,v5.0,hash_token,token_02,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 02.",
pcornet,v5.0,hash_token,token_05,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 05.",
pcornet,v5.0,hash_token,token_12,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 12.",
pcornet,v5.0,hash_token,token_17,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 17.",
pcornet,v5.0,hash_token,token_21,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 21.",
pcornet,v5.0,hash_token,token_22,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 22.",
pcornet,v5.0,hash_token,token_23,NO,,,,NO,,,,"Encrypted hash generated from PII using token strategy 23.",
