model,version,table,field,type,name
omop,v5,concept_class,concept_class_id,primary key,xpk_concept_class
omop,v5,concept_class,concept_class_concept_id,not null,
omop,v5,concept_class,concept_class_id,not null,
omop,v5,concept_class,concept_class_name,not null,
