model,version,table,field,type,length,precision,scale,default
pedsnet,v2.6,observation_period,observation_period_end_date,date,,,,
pedsnet,v2.6,observation_period,observation_period_end_datetime,datetime,,,,
pedsnet,v2.6,observation_period,observation_period_id,integer,,,,
pedsnet,v2.6,observation_period,observation_period_start_date,date,,,,
pedsnet,v2.6,observation_period,observation_period_start_datetime,datetime,,,,
pedsnet,v2.6,observation_period,period_type_concept_id,integer,,,,
pedsnet,v2.6,observation_period,person_id,integer,,,,
