model,version,table,field,type,name
omop,5.0.0,vocabulary,vocabulary_id,primary key,xpk_vocabulary
omop,5.0.0,vocabulary,vocabulary_concept_id,not null,
omop,5.0.0,vocabulary,vocabulary_id,not null,
omop,5.0.0,vocabulary,vocabulary_name,not null,
