model,version,table,field,ref_table,ref_field,name
omop,v5,concept,concept_class_id,concept_class,concept_class_id,fpk_concept_class
omop,v5,concept,domain_id,domain,domain_id,fpk_concept_domain
omop,v5,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
