Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
domain,domain_concept_id,Yes,concept,concept_id,integer,,A foreign key that refers to a standard concept identifier in the Standardized Vocabularies for the Domain the Domain record belongs to. 
domain,domain_id,Yes,,,varchar(20),,A unique key for each domain. 
domain,domain_name,Yes,,,varchar(255),,"The name describing the Domain, e.g. ""Condition"", ""Procedure"", ""Measurement"" etc. "
