Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
concept_ancestor,ancestor_concept_id,Yes,concept,concept_id,integer,,A foreign key to the concept code in the concept table for the higher-level concept that forms the ancestor in the relationship. 
concept_ancestor,descendant_concept_id,Yes,concept,concept_id,integer,,A foreign key to the concept code in the concept table for the lower-level concept that forms the descendant in the relationship. 
concept_ancestor,max_levels_of_separation,Yes,,,integer,,The maximum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an optional attribute that is used to simplify hierarchic analysis. 
concept_ancestor,min_levels_of_separation,Yes,,,integer,,The minimum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an optional attribute that is used to simplify hierarchic analysis. 
