model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,observation_period,observation_period_end_date,date,,,,
pedsnet-bigint,v3.5,observation_period,observation_period_end_time,datetime,,,,
pedsnet-bigint,v3.5,observation_period,observation_period_id,biginteger,,,,
pedsnet-bigint,v3.5,observation_period,observation_period_start_date,date,,,,
pedsnet-bigint,v3.5,observation_period,observation_period_start_time,datetime,,,,
pedsnet-bigint,v3.5,observation_period,period_type_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation_period,person_id,biginteger,,,,
