model,version,table,field,type,name
pcornet,v3,lab_result_cm,lab_result_cm_id,primary key,xpk_lab_result_cm
pcornet,v3,lab_result_cm,lab_result_cm_id,not null,
pcornet,v3,lab_result_cm,patid,not null,
pcornet,v3,lab_result_cm,result_date,not null,
