model,version,table,field,ref_table,ref_field,name
pcornet,v3,lab_result_cm,encounterid,encounter,encounterid,fk_lab_result_cm_encounterid
pcornet,v3,lab_result_cm,patid,demographic,patid,fk_lab_result_cm_patid
