Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
concept_synonym,concept_id,Yes,concept,concept_id,integer,,A foreign key to the concept in the concept table. 
concept_synonym,concept_synonym_id,Yes,,,integer,,A system-generated unique identifier for each concept synonym. 
concept_synonym,concept_synonym_name,Yes,,,string(1000),,The alternative name for the concept. 
